record_offset,sig8,body_prefix,matched_field,field_value,window_start,window_end,window_state,status,content_class,family_id,confidence,semantic_label,source_candidate,rationale
127361425,0000010c43fc9ae9,71d0,pos020,162754444,162623372,165506956,routable,soft_clean,track_menu_preview,track_menu_preview_family_01,medium_high,audio-backed track/menu preview candidate,43fc9a_stage24_rank02_pos020_09B16F8C_09DD6F8C.pss,audio_present|mpeg1video|sane_duration|visual_sheet_unreliable
533113988,0000010c43fc9ae9,71d0,pos020,162754444,162623372,165506956,routable,soft_clean,track_menu_preview,track_menu_preview_family_01,medium_high,audio-backed track/menu preview candidate,43fc9a_stage24_rank02_pos020_09B16F8C_09DD6F8C.pss,audio_present|mpeg1video|sane_duration|visual_sheet_unreliable
929497332,0000010c43fc9ae9,71d0,pos020,162754444,162623372,165506956,routable,soft_clean,track_menu_preview,track_menu_preview_family_01,medium_high,audio-backed track/menu preview candidate,43fc9a_stage24_rank02_pos020_09B16F8C_09DD6F8C.pss,audio_present|mpeg1video|sane_duration|visual_sheet_unreliable
934140139,0000010c43fc9ae9,71d0,pos020,162754444,162623372,165506956,routable,soft_clean,track_menu_preview,track_menu_preview_family_01,medium_high,audio-backed track/menu preview candidate,43fc9a_stage24_rank02_pos020_09B16F8C_09DD6F8C.pss,audio_present|mpeg1video|sane_duration|visual_sheet_unreliable
938014466,0000010c43fc9ae9,71d0,pos020,162754444,162623372,165506956,routable,soft_clean,track_menu_preview,track_menu_preview_family_01,medium_high,audio-backed track/menu preview candidate,43fc9a_stage24_rank02_pos020_09B16F8C_09DD6F8C.pss,audio_present|mpeg1video|sane_duration|visual_sheet_unreliable
68966,0000010c43fc9ae9,7321,pos020,632995377,632864305,635747889,routable,rejected,nonvideo,reject_nonvideo_family,medium,non-video candidate window,43fc9a_pos020_25BABE31_25B8BE31_25E4BE31_c4.pss,ffprobe_failed|no_video_signature
68966,0000010c43fc9ae9,7321,pos0a4,1156816569,1156685497,1159569081,routable,rejected,nonvideo,reject_nonvideo_family,medium,non-video candidate window,43fc9a_pos0a4_44F4A559_44F2A559_451EA559_c3.pss,ffprobe_failed|no_video_signature
68966,0000010c43fc9ae9,7321,pos024,3774146039,3774014967,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos024,value_cluster_pos024_E0F4E5F7,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
265660,0000010c43fc9ae9,7321,pos020,3302307782,3302176710,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos020,value_cluster_pos020_C4D537C6,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
265660,0000010c43fc9ae9,7321,pos024,1314881215,1314750143,1225915283,truncated_or_oob,deferred_oob,deferred_oob,deferred_oob_43fc9a,medium,deferred out-of-bounds value cluster pos024,value_cluster_pos024_4E5F7EBF,value_cluster_above_tng_size_or_truncated_window|needs_future_relative_or_transformed_interpretation
