candidate_file,rank,hint_family_id,hint_content_class,candidate_duration,family_median_duration,duration_delta,codec_match,hint_score
43fc9a_stage24_rank01_pos0a4_051BBEB5_0547BEB5.pss,1,track_menu_preview_family_01,track_menu_preview_fmv,12.64,11.76,0.8800000000000008,0,-0.8800000000000008
43fc9a_stage24_rank01_pos0a4_051BBEB5_0547BEB5.pss,1,challenge_preview_family_misc,challenge_preview_fmv,12.64,20.32888888888889,7.68888888888889,0,-7.68888888888889
43fc9a_stage24_rank01_pos0a4_051BBEB5_0547BEB5.pss,1,menu_background_family_01,menu_background_fmv,12.64,35.52,22.880000000000003,0,-22.880000000000003
43fc9a_stage24_rank02_pos020_09B16F8C_09DD6F8C.pss,2,track_menu_preview_family_01,track_menu_preview_fmv,14.38,11.76,2.620000000000001,0,-2.620000000000001
43fc9a_stage24_rank02_pos020_09B16F8C_09DD6F8C.pss,2,challenge_preview_family_misc,challenge_preview_fmv,14.38,20.32888888888889,5.94888888888889,0,-5.94888888888889
43fc9a_stage24_rank02_pos020_09B16F8C_09DD6F8C.pss,2,menu_background_family_01,menu_background_fmv,14.38,35.52,21.14,0,-21.14
43fc9a_stage24_rank03_pos024_3723B540_374FB540.pss,3,challenge_preview_family_misc,challenge_preview_fmv,16.8,20.32888888888889,3.52888888888889,1,96.47111111111111
43fc9a_stage24_rank03_pos024_3723B540_374FB540.pss,3,track_menu_preview_family_01,track_menu_preview_fmv,16.8,11.76,5.040000000000001,1,94.96
43fc9a_stage24_rank03_pos024_3723B540_374FB540.pss,3,menu_background_family_01,menu_background_fmv,16.8,35.52,18.720000000000002,1,81.28
43fc9a_stage24_rank04_pos094_004212F6_006E12F6.pss,4,track_menu_preview_family_01,track_menu_preview_fmv,15.4,11.76,3.6400000000000006,1,96.36
43fc9a_stage24_rank04_pos094_004212F6_006E12F6.pss,4,challenge_preview_family_misc,challenge_preview_fmv,15.4,20.32888888888889,4.92888888888889,1,95.07111111111111
43fc9a_stage24_rank04_pos094_004212F6_006E12F6.pss,4,menu_background_family_01,menu_background_fmv,15.4,35.52,20.120000000000005,1,79.88
43fc9a_stage24_rank05_pos094_06DE03E0_070A03E0.pss,5,track_menu_preview_family_01,track_menu_preview_fmv,15.12,11.76,3.3599999999999994,1,96.64
43fc9a_stage24_rank05_pos094_06DE03E0_070A03E0.pss,5,challenge_preview_family_misc,challenge_preview_fmv,15.12,20.32888888888889,5.208888888888891,1,94.7911111111111
43fc9a_stage24_rank05_pos094_06DE03E0_070A03E0.pss,5,menu_background_family_01,menu_background_fmv,15.12,35.52,20.400000000000006,1,79.6
43fc9a_stage24_rank06_pos024_34CDEFFC_34F9EFFC.pss,6,track_menu_preview_family_01,track_menu_preview_fmv,12.6,11.76,0.8399999999999999,1,99.16
43fc9a_stage24_rank06_pos024_34CDEFFC_34F9EFFC.pss,6,challenge_preview_family_misc,challenge_preview_fmv,12.6,20.32888888888889,7.728888888888891,1,92.27111111111111
43fc9a_stage24_rank06_pos024_34CDEFFC_34F9EFFC.pss,6,menu_background_family_01,menu_background_fmv,12.6,35.52,22.92,1,77.08
43fc9a_stage24_rank07_pos094_01F600F8_022200F8.pss,7,track_menu_preview_family_01,track_menu_preview_fmv,12.24,11.76,0.4800000000000004,1,99.52
43fc9a_stage24_rank07_pos094_01F600F8_022200F8.pss,7,challenge_preview_family_misc,challenge_preview_fmv,12.24,20.32888888888889,8.08888888888889,1,91.91111111111111
43fc9a_stage24_rank07_pos094_01F600F8_022200F8.pss,7,menu_background_family_01,menu_background_fmv,12.24,35.52,23.28,1,76.72
